,부번,면적,계약년월,계약일,가격,층,건축년도
부번,1.0,-0.02769714824573217,,0.003146857374831756,-0.028820417100485576,-0.03016340932759874,-0.042524911173579136
면적,-0.02769714824573217,1.0,,-0.030011263840753574,0.4583654758095203,0.17421552503812052,0.23215464352876491
계약년월,,,,,,,
계약일,0.003146857374831756,-0.030011263840753574,,1.0,-0.08461382902504082,0.003314121318222039,0.017724916533721755
가격,-0.028820417100485576,0.4583654758095203,,-0.08461382902504082,1.0,0.2014691984150708,0.21159964154288813
층,-0.03016340932759874,0.17421552503812052,,0.003314121318222039,0.2014691984150708,1.0,0.30751996160652156
건축년도,-0.042524911173579136,0.23215464352876491,,0.017724916533721755,0.21159964154288813,0.30751996160652156,1.0
